topic_id,Boland,Bradley,Goudiss,Hill,Hooper,Kitchiner,Lusk,Murrey,Payne,Randolf,Santiagoe,WIDAS,topterms,names
0,0.04777583260547207,0.06369372114519577,0.03366514212230531,0.028879546581674374,0.07427433616855786,0.036485227375556754,0.011636563003194782,0.021439728142133366,0.06403862808033345,0.05309818900246125,0.056983151955237225,0.030347034864589246,juice sugar water lemon fruit pudding orange jelly syrup bottle,making_preserves
1,0.019747335461754546,0.02333717137132905,0.012857738442087392,0.11416339974676194,0.0448388002452081,0.043382733282272365,0.015057133428608305,0.08834318546443981,0.04622136896952224,0.03962308736264685,0.020146343887557126,0.0166131710587947,crumbs parsley lobster pepper sauce butter oysters egg salt mayonnaise,rich_sauce
2,0.024149091426962584,0.010435897538882593,0.010965103644308501,0.02914823180965059,0.014931775097718024,0.07450624413520919,0.006638828115595813,0.024218695605764968,0.030334713871452437,0.024413632205566884,0.03452839551110077,0.012648683439021216,powder oysters flavour soda acid spice cook sweetbreads ingredients relish,flavorful_ingredients
3,0.015672155409722773,0.08980187179688578,0.01463036416505749,0.07274419690486769,0.022480610667412675,0.03154093196885035,0.014942057274883671,0.021648772655957146,0.03732127117817611,0.034725002402315325,0.01805746830906037,0.029794938443240875,knife lettuce pieces skin dressing end way oil salad slices,food_prep
4,0.05173517527878774,0.02354256385324002,0.02840280719423578,0.021149726154677265,0.027152601464766047,0.03393785692845573,0.12068282537422939,0.026046483980180203,0.07248142779728557,0.01086824856685887,0.04212620302917553,0.03194589613261071,food rice tea family day diet foods value time grains,food_staples
5,0.03968258796569231,0.02061776815189889,0.035916928236784676,0.02450003173796694,0.013556528429841258,0.02738763356727656,0.03114141142303875,0.029700355648761768,0.03859022713716074,0.010121205321953715,0.0254065933136836,0.047060772716339,potatoes meal soup coffee breakfast way carrots dish dinner stock,meal_timing
6,0.11084282296142578,0.008815589940082386,0.023720485226429115,0.014009521660593079,0.009777383828194751,0.02243232939040133,0.08567348899183265,0.02083002825875036,0.011973404997490512,0.007887215164336448,0.011957365694427008,0.04896915646569723,food water body jars foods substances pressure air protein salts,cooking_basics
7,0.0598195733771754,0.08464334185647908,0.07093052597323345,0.05677526795987363,0.07472691666346912,0.04520848299039783,0.01491277460551577,0.08906343923931452,0.03397979420684032,0.07663997722655,0.02847970977096191,0.04488849224354978,water minutes salt boiling tender hour boil point pieces hours,boiling
8,0.06436359840271204,0.12670976677171572,0.07359518108859593,0.07072505345496359,0.24858638469824046,0.05279035730257176,0.0191590770828394,0.06153652617318099,0.021895968619742946,0.1988675823818289,0.03748847153463438,0.08696499504766497,sugar eggs water milk flour butter mixture egg salt pound,cake
9,0.016701476319712798,0.020879186502667294,0.02179723261374908,0.023392201798905964,0.01834102773413061,0.020067062013784068,0.015340477062675623,0.014674447594755493,0.035464718511000706,0.006889082233802485,0.027396281473812442,0.06634791020963304,cake kind method cakes pastry preparation dessert making recipes kinds,dessert
10,0.02934731678102672,0.01607774406702789,0.054166918381398935,0.02137149085904195,0.03610752207845277,0.07740819220740533,0.04995011583902334,0.028195244618989104,0.07088882568895032,0.043087185902793555,0.07462754559387422,0.0379843163501812,meat beef mutton roast ham chops veal steak piece steaks,meat
11,0.012997136772470486,0.02309601462291272,0.017265925309272956,0.026176700645795584,0.04295743993687931,0.078862045736017,0.02805288966325776,0.06091631302110254,0.10042279175765749,0.0358548789325212,0.028173189264160424,0.011007312024812754,soup head meat pieces stock hour turtle quarts lobster pounds,rich_soup
12,0.04159199562049946,0.011392644081305253,0.012726421934781934,0.03152826523048859,0.009253096226161462,0.025492546928612057,0.007065924461563942,0.02588027042586294,0.022227334180633048,0.028740089905772984,0.048676996864761686,0.08312951226257181,tsp salt butter pepper tomatoes milk chicken onion water toast,tomato_sauce
13,0.02082143779412455,0.051214004585084585,0.02189241511933632,0.03853745410155486,0.03902281754176085,0.03288720515203233,0.01835091595768562,0.03079955425334166,0.03616115407664633,0.02386998047052833,0.015577251990400432,0.03251655167408659,butter pie paste bread crust slices place filling table slice,pie
14,0.018062111623821167,0.00955824716549137,0.01872890269360944,0.030019750147780147,0.032652595999309225,0.06280206913724223,0.15035010352998301,0.05333729681247881,0.05935831020469759,0.06332197345842153,0.03997388328373653,0.019180686384198765,fish water dish salt hour hours macaroni salmon day layer,fish
15,0.03675685403336017,0.040019048941792895,0.025573112962545785,0.02147044043070942,0.0178595409322885,0.016255719847410796,0.011748114019248983,0.023419807742116196,0.014180037535657712,0.011671871775250814,0.027415456463286133,0.0528082193280977,egg eggs ice mixture beans cheese shell cakes place liquid,more_desserts
16,0.04839645811708238,0.018989930003718836,0.03157456325589464,0.04086201134892673,0.008335698069388088,0.025244621435801817,0.041958808312182586,0.0211106788818126,0.03143345523723074,0.0076268979522182406,0.023235206794340067,0.03947183353652348,salad cooking dressing salads temperature time oil year heat meat,salad/meat
17,0.03434588204371986,0.008401070161472943,0.03916423445875354,0.018092701225438886,0.02702050157014695,0.03108148019774439,0.022147117203899842,0.04671078940924612,0.030252438163459554,0.020388785761787556,0.026152992970814505,0.030747327578289164,fat flour meat bread wheat salt hare pork potato pan,generic_recipe
18,0.026488400660780585,0.02771517475460249,0.031706543565618216,0.02419178741908405,0.016543486007315387,0.018854376428450562,0.020890957334764385,0.01872259367623899,0.009405566955660336,0.025498858688142143,0.06272359006874088,0.09236891983125813,fruit fruits vegetables sugar food flavor foods cabbage apples value,fruits/veggies
19,0.04076098178387591,0.01483777036674859,0.02759404177303165,0.0659305056466536,0.04477011553148127,0.05015765178607769,0.12524037960072007,0.037573565363202034,0.0711442289242107,0.009656225926712761,0.037953395124689676,0.04134133275824926,bread ingredients dough time work cookery process making use things,bread
20,0.0706740956657788,0.01848012287972472,0.03625813860398374,0.023147640380246953,0.055084712645390166,0.014796916569554085,0.03258826557729115,0.02589169048770403,0.024185781871726753,0.017809260304542395,0.026554647260316012,0.04371591377366435,milk cream water cheese custard dish sugar place butter boiler,custard
21,0.031794176509932826,0.013706774064832804,0.021614036648202366,0.022812938359848108,0.027178816403592338,0.032217944273098494,0.06302595576912144,0.037922419163496056,0.03273910866285029,0.04687847303614512,0.043967759993600045,0.02264932414658988,oven dish bacon place minutes bone pan layer butter shells,oven
22,0.022543923300905527,0.028630276421016666,0.027564079901861247,0.04870962021484711,0.06248720483568197,0.10961580776537255,0.007134008182801578,0.1401139772964848,0.06723366491597388,0.1888513035412774,0.13683417393938802,0.022868261105350066,sauce pan butter salt pepper gravy flour minutes spoonful water,gravy
23,0.047709436961917324,0.024862570680791115,0.022543474161676767,0.018728571504869555,0.022418177470150274,0.02456312828567733,0.07869160410633465,0.024896717590686308,0.0231654854733628,0.007458523666010046,0.025359520094503665,0.0466466642278889,coffee corn food cereals chocolate use cocoa beverages value cereal,breakfast
24,0.0672201431212867,0.22054172827510055,0.28514568252324657,0.11293294467477821,0.00964190975446252,0.012021435294728431,0.007620204079707506,0.027007418493999097,0.014900292982277559,0.006152468809555022,0.08020440581373721,0.007982774397095915,cup teaspoon tablespoons cups water tablespoon salt milk tablespoonfuls teaspoonful,measurement
