period,book_year,book_id,vol_num,chap_num,recp_num,para_num,sent_num,token_num,nrc_anger,nrc_disgust,nrc_anticipation,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,overall_NRC_valence,VADER_pos,VADER_neg,VADER_neu,VADER_compound
1900s,1923.0,9935,2.9961511455543133,105.46584141679453,204.80836345668737,1.8120822822666631,3.195433386211739,16.00124827711752,0.00938808415468234,0.012430759628637558,0.024679478844303434,0.011468546017215822,0.025875744415260186,0.02649988297402023,0.04616024757496164,0.015161365823212753,0.010454320859230749,0.03856656177671443,0.01966036460094141,0.05088246838203226,0.019058656781508917,0.930058002616661,0.1018358918447444
1900s,1923.0,9936,3.962927065665132,98.01577686239668,210.7013703793447,1.0261960530921035,3.266187437740624,14.70379344694828,0.012815335325633363,0.016665320517998006,0.027622970680881997,0.01604609213041488,0.03306141130226422,0.038903696524244136,0.0534151791723878,0.02296529628732197,0.013434563713216488,0.04393829254502867,0.014511482648143663,0.05627330726486933,0.018010907594155193,0.925712286478699,0.11205628730191386
1900s,1923.0,9937,2.9643244709712424,122.29259359739555,226.72126966901791,0.7486977753662507,3.342186652197504,13.515897992403689,0.014568638090070538,0.0184753119913185,0.02015735214324471,0.016332067281606077,0.025311991318502442,0.041101465002712965,0.043461747151383616,0.028133478024959305,0.010173629951166576,0.042702116115029845,0.0023602821486706504,0.05166588235294114,0.022487058823529388,0.9258435294117657,0.08482017647058805
1900s,1923.0,9938,2.8020053243102034,168.51551265145673,261.45552708183016,0.8318612693752644,2.8862488493021172,12.143831015350932,0.008882143656855671,0.011718458438036474,0.02580051252705695,0.010822780086084642,0.03162242181474386,0.030627223645908492,0.04664991416415794,0.014977732440972308,0.011892618117582663,0.03766825069041873,0.016022690518249446,0.05318496810894675,0.02127495259438026,0.9255424926736748,0.08444051025685195
1900s,1923.0,9939,3.339402930477371,149.78023451947894,386.8688194769037,0.7077651553640742,3.174202857317048,13.540837685695125,0.012071453248521552,0.011624362387465198,0.027780600321092527,0.015018188469120248,0.030524112423029243,0.029772186883979923,0.04826549068222001,0.016583006482817485,0.012518544109577905,0.04003495437640986,0.018493303798240088,0.0635759484400175,0.03092266002636589,0.9055000732386085,0.09978255456276475
1900s,1923.0,10582,0.0,5.415936009844639,70.01276726657437,1.219350869097062,1.7678818643285648,14.399630826026765,0.024611598215659128,0.01076757421935087,0.028303337948008,0.01045992924165513,0.032610367635748344,0.04353176434394709,0.04214736194431626,0.013074911552068913,0.01676665128441778,0.02861098292570374,-0.0013844023996308283,0.03930350665054415,0.0372720677146312,0.9234268440145097,-0.0029787182587666236
1900s,1918.0,15464,3.1033126031222236,8.59582434319076,145.35239243558829,4.9131234928290395,1.3471887295342049,12.668041629648432,0.009836273638786648,0.029191521766721667,0.013326564284807716,0.007297880441680417,0.017832212209671277,0.04410458179972078,0.025891610610483565,0.025764690950628253,0.00679020180225917,0.023924355882726234,-0.018212971189237214,0.046492050209204994,0.027347698744769878,0.9261569037656913,0.03453046025104594
1900s,1909.0,19077,1.8304185156182025,14.778517358392065,212.55442443226312,2.0203167145218828,1.604628904550596,14.99943443835378,0.014574088575654747,0.010093100147916123,0.02244844688071,0.009266510049595406,0.02501522665970591,0.03201949012442356,0.033846689289132516,0.011615766118506917,0.010789176020186201,0.028887148699208214,0.0018271991647089564,0.04461579121242149,0.02743012884043604,0.9279544103072348,0.029126032375288814
1900s,1918.0,32472,0.0,1.5487355757426957,0.0,29.508961453474097,2.221703903756445,19.08568622636877,0.014485637122514118,0.024306408053032164,0.028234716425239382,0.022342253866928553,0.028971274245028236,0.04542106555364596,0.0537687208445863,0.03314510189049841,0.016204272035354777,0.041492757181438744,0.008347655290940344,0.07184960422163593,0.03678100263852242,0.89136147757256,0.12364564643799471
late1800s,1885.0,24205,0.0,5.488269500701825,43.7876478844997,0.9881692400240626,0.9292159614998997,19.81191096851815,0.020854220974533787,0.01443753759775416,0.029075596551032683,0.015239623019851614,0.029075596551032683,0.0443152195708843,0.047122518548225384,0.018849007419290156,0.01142971726488871,0.040705835171445756,0.002807298977341083,0.07748097826086955,0.034847826086956524,0.8876929347826085,0.13154456521739122
late1800s,1885.0,24542,0.0,0.0,1.6644736842105263,1.5416666666666667,2.0065789473684212,15.554824561403509,0.017543859649122806,0.017543859649122806,0.039473684210526314,0.010964912280701754,0.02850877192982456,0.05263157894736842,0.05043859649122807,0.017543859649122806,0.008771929824561403,0.05043859649122807,-0.0021929824561403508,0.07479591836734693,0.07424489795918367,0.8509795918367349,0.08634897959183672
late1800s,1884.0,25007,0.0,0.0,0.0,49.20718375845914,1.648880791254555,22.917751171264968,0.02394586153045289,0.022123893805309734,0.01691827173347215,0.014315460697553357,0.01978136387298282,0.05309734513274336,0.02706923477355544,0.019521082769390942,0.007287870900572618,0.03331598125976054,-0.026028110359187923,0.0518458904109589,0.02684589041095891,0.9213047945205484,0.10196061643835616
late1800s,1892.0,29519,0.0,4.656985631305411,80.8709110363803,3.277132375420361,2.232421277896668,19.361510241516356,0.019107306634056864,0.017884439009477223,0.022928767960868235,0.009706511770100887,0.027514521553041883,0.04295322531335983,0.03668602873738918,0.017808009782940996,0.012992968511158666,0.03125955365331703,-0.006267196575970649,0.07559895379250221,0.027048823016564964,0.8973443766346996,0.16023661726242347
late1800s,1887.0,34107,0.0,0.0,28.28972972972973,2.1848648648648648,3.6492972972972972,14.31481081081081,0.016,0.015135135135135135,0.02745945945945946,0.006054054054054054,0.03027027027027027,0.02702702702702703,0.03697297297297297,0.008216216216216217,0.016432432432432434,0.02854054054054054,0.009945945945945944,0.03915974729241878,0.0765568592057762,0.8842833935018053,0.02968185920577624
late1800s,1891.0,38464,0.0,0.0,19.473072861668427,2.0475184794086587,1.543470608940514,19.61316437873988,0.021823301654347062,0.009503695881731784,0.022175290390707498,0.007391763463569166,0.019359380499824004,0.03871876099964801,0.030623020063357972,0.011263639563533967,0.008799718409010912,0.03484688489968321,-0.008095740936290036,0.056709677419354836,0.038664516129032246,0.9046354838709679,0.09772677419354839
late1800s,1888.0,53521,0.0,9.48589125946318,69.59119064005506,0.34985088323009866,1.6596696490020646,18.731016288139482,0.030970406056434963,0.015944023858683185,0.023973388391832988,0.02282633631566873,0.023514567561367286,0.05999082358339069,0.034182151869694886,0.02718513420509291,0.014223445744436798,0.034870383115393436,-0.025808671713695802,0.066281729428173,0.029729428172942822,0.9039860529986051,0.1055767085076706
late1800s,1893.0,54568,1.7568903250332637,21.391886387704673,201.69674423656556,4.870122464496157,1.7781790534118989,16.487712819398812,0.012816683411627339,0.01792163358405518,0.028104379938631983,0.016916935943736933,0.030303853151220573,0.037173812691775054,0.047600944958861705,0.021614576261981697,0.015151926575610286,0.03606049909034133,0.01042713226708665,0.05961430603535866,0.029325340377971947,0.911061572851045,0.08567150985572061
late1800s,1877.0,61185,0.0,10.62738797273915,0.0,16.38560683639959,2.9933260355238533,22.434231434725803,0.01680850312511035,0.019880645503019174,0.02863801687912709,0.018962533987782054,0.03464105370952364,0.04188000988735478,0.049860517673646666,0.022634980048730536,0.01627882340478124,0.04325717716021046,0.007980507786291884,0.08775357637286552,0.041701892016612764,0.870548223350254,0.17141158283341038
mid1800s,1860.0,12519,0.0,9.145210466439135,200.6774061433447,1.0689419795221844,0.6848691695108078,44.534243458475544,0.01888509670079636,0.01838452787258248,0.024027303754266212,0.009419795221843004,0.029943117178612057,0.04810011376564278,0.036541524459613194,0.015108077360637087,0.015608646188850966,0.03558589306029579,-0.011558589306029585,0.06781288343558278,0.019824386503067483,0.9123642638036816,0.20832108895705537
mid1800s,1830.0,28681,2.8085075138283813,22.992143521464584,17.41460668657301,92.70567575505409,0.7535366390914876,35.31384306622938,0.01760977042439669,0.01921288364579764,0.028635762886093298,0.01251896813353566,0.035109403299231484,0.04109354349209457,0.04959860981937442,0.018552058348426256,0.01669195751138088,0.04352880708796319,0.008505066327279848,0.057251994198694776,0.10222842639593951,0.8405221174764355,0.07647347111433353
